Time,Car,Motobike,Truck,Bicycle,Total
730,2.75,12.0,1.0,0.0,15.75
740,2.75,19.5,1.0,0.25,23.5
750,2.75,17.5,0.75,0.0,21.0
800,3.25,19.25,1.0,0.75,24.25
810,2.0,12.25,0.5,0.0,14.75
820,4.0,17.0,1.0,0.0,22.0
830,5.0,20.0,1.5,0.75,27.25
840,4.5,15.5,0.75,0.0,20.75
850,5.0,15.0,2.5,0.5,23.0
900,4.0,12.75,1.25,1.0,19.0
910,4.0,17.75,1.75,0.0,23.5
920,3.0,15.0,0.75,0.5,19.25
930,3.25,16.5,1.5,0.0,21.25
940,2.75,16.5,0.5,0.0,19.75
950,3.75,15.0,1.25,0.25,20.25
1000,3.5,15.75,1.25,0.0,20.5
1010,4.75,11.75,2.0,0.25,18.75
1020,2.75,16.5,1.5,0.25,21.0
1030,6.0,11.5,2.0,0.0,19.5
1040,4.75,14.75,2.5,0.5,22.5
1050,4.25,18.25,1.5,0.0,24.0
1100,2.75,16.0,0.75,0.0,19.5
1110,3.25,17.25,1.75,0.0,22.25
1120,2.75,12.5,2.5,0.0,17.75
1130,2.0,17.5,2.0,0.0,21.5
1140,3.5,13.25,3.0,0.0,19.75
1150,3.25,16.75,1.0,0.0,21.0
1200,3.5,15.75,1.25,0.0,20.5
1210,3.0,13.0,1.0,0.0,17.0
1220,4.75,14.0,1.5,0.0,20.25
1230,2.75,13.75,1.0,0.0,17.5
1240,3.0,13.0,0.5,0.0,16.5
1250,4.5,15.25,1.0,0.0,20.75
1300,4.0,9.25,1.25,0.0,14.5
1310,3.5,15.25,1.0,0.0,19.75
1320,4.25,11.0,1.5,0.0,16.75
1330,5.25,17.0,0.75,0.5,23.5
1340,3.0,18.5,2.75,0.0,24.25
1350,4.25,11.75,2.0,0.0,18.0
1400,2.25,15.0,1.75,0.25,19.25
1410,4.5,11.25,1.5,0.25,17.5
1420,2.25,15.0,1.5,0.0,18.75
1430,3.75,17.25,0.0,0.0,21.0
1440,2.75,18.25,1.75,0.75,23.5
1450,3.75,12.0,2.5,0.0,18.25
1500,3.0,12.0,2.75,0.25,18.0
1510,4.75,19.0,1.0,0.0,24.75
1520,3.0,18.0,1.25,0.5,22.75
1530,4.75,12.75,2.25,0.0,19.75
1540,4.25,16.0,0.75,0.0,21.0
1550,3.0,19.0,1.0,0.0,23.0
1600,5.25,22.25,1.25,0.0,28.75
1610,3.25,19.0,0.75,0.0,23.0
1620,4.25,12.0,1.75,0.0,18.0
1630,5.5,15.25,0.5,0.0,21.25
1640,4.25,15.0,1.25,0.0,20.5
1650,2.0,15.5,0.25,0.0,17.75
1700,3.5,15.0,1.5,0.0,20.0
1710,2.25,14.5,0.0,0.0,16.75
1720,3.0,13.75,0.75,0.0,17.5
1730,1.5,7.5,0.75,0.0,9.75
1740,1.75,11.75,0.5,0.0,14.0
1750,1.5,4.0,0.75,0.0,6.25
1800,2.75,4.0,0.25,0.0,7.0
1810,1.25,5.0,0.0,0.0,6.25
1820,0.75,4.25,0.25,0.0,5.25
1830,0.25,5.75,0.25,0.0,6.25
